id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID,Scholarly_bin,Digital_bin,Edition_bin,Edition_not_provided,Philological_statement_no,Philological_statement_not_provided,Philological_statement_partly,Philological_statement_yes,Account_of_textual_variance_no,Account_of_textual_variance_not_provided,Account_of_textual_variance_partly,Account_of_textual_variance_yes,XML_TEI_Transcription_no,XML_TEI_Transcription_not_provided,XML_TEI_Transcription_partly,XML_TEI_Transcription_yes,XML__TEI__available_to_download_no,XML__TEI__available_to_download_not_provided,XML__TEI__available_to_download_partly,XML__TEI__available_to_download_yes,Images_no,Images_not_provided,Images_partly,Images_yes,Zoom_images_bin,Zoom_images_not_provided,Image_manipulation__brightness__rotation__etc___bin,Image_manipulation__brightness__rotation__etc___not_provided,Text_Image_Linking_no,Text_Image_Linking_not_provided,Text_Image_Linking_partly,Text_Image_Linking_yes,Glossary_bin,Glossary_not_provided,Indices_no,Indices_not_provided,Indices_partly,Indices_yes,String_matching_bin,String_matching_not_provided,Advanced_search_bin,Advanced_search_not_provided,Creative_Commons_License_no,Creative_Commons_License_partly,Creative_Commons_License_yes,Linked_Open_Data_bin,Linked_Open_Data_not_provided,API_bin,API_not_provided,Crowdsourcing_no,Crowdsourcing_not_provided,Crowdsourcing_partly,Crowdsourcing_yes,Feedback_no,Feedback_not_provided,Feedback_partly,Feedback_yes,Technological_statement_no,Technological_statement_not_provided,Technological_statement_partly,Technological_statement_yes,Links to ext. resources_bin,Mobile friendly/application_bin,Current availability_bin,Citation_bin,Citation_not_provided,Historical_Period_Antiquity,Historical_Period_Antiquity__Middle_Ages,Historical_Period_Contemporary,Historical_Period_Early_Modern,Historical_Period_Early_Modern__Long_Nineteenth_Century,Historical_Period_Early_Modern__Long_Nineteenth_Century__Modern__Contemporary,Historical_Period_Early_Modern_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century__Modern,Historical_Period_Long_Nineteenth_century,Historical_Period_Middle_Ages,Historical_Period_Middle_Ages__Early_Modern,Historical_Period_Modern,Historical_Period_Modern__Contemporary,Value_of_witnesses_0_5__1,Value_of_witnesses_no,Value_of_witnesses_not_provided,Value_of_witnesses_partly,Value_of_witnesses_yes,Open_source_Open_access_Open_Access_and_Open_Source__all_data,Open_source_Open_access_Open_Access_and_Open_Source__some_data,Open_source_Open_access_no,Open_source_Open_access_not_provided,Open_source_Open_access_partly,Open_source_Open_access_yes,OCR_or_keyed__Keyed,OCR_or_keyed__Keyed__OCR,OCR_or_keyed__OCR,OCR_or_keyed__OCR__Keyed,OCR_or_keyed__OCR_Keyed,OCR_or_keyed__not_provided,Print_friendly_view_forthcoming,Print_friendly_view_no,Print_friendly_view_not_provided,Print_friendly_view_partly,Print_friendly_view_trial,Print_friendly_view_yes,Print_facsimile__complementary_output__forthcoming,Print_facsimile__complementary_output__no,Print_facsimile__complementary_output__not_provided,Print_facsimile__complementary_output__partly,Print_facsimile__complementary_output__yes,RIDE_review_10_18716_ride_a_13_4,RIDE_review_http___ride_i_d_e_de_issues_issue_1_codex_sinaiticus,RIDE_review_http___ride_i_d_e_de_issues_issue_1_nietzschesource,RIDE_review_http___ride_i_d_e_de_issues_issue_2_becerro_galicano,RIDE_review_http___ride_i_d_e_de_issues_issue_2_fleischmann_diaries,RIDE_review_http___ride_i_d_e_de_issues_issue_3_godwin,RIDE_review_http___ride_i_d_e_de_issues_issue_5_jane_austens_fiction_manuscripts,RIDE_review_https___ride_i_d_e_de_issues_issue_17_okopenko,RIDE_review_https___ride_i_d_e_de_issues_issue_5_damaboba,RIDE_review_no,Sahle_Catalog_https___digitale_edition_de_e613,Sahle_Catalog_https___digitale_edition_de_e820,Sahle_Catalog_https___digitale_edition_de_e825,Sahle_Catalog_no,Sahle_Catalog_not_provided,Sahle_Catalog_yes,Historical_Period_code,period_start,period_end,author,phil_direction,description,keywords,authoritativeness_score,renown_score
11,Early Modern,1740s-1770s,"The Saint-Aubins ""Book of Arses"": The Livre de Caricatures tant bonnes que mauvaises",http://www.waddesdon.org.uk/collection/special-projects/st.-aubin,yes,yes,no,FRE,Manuscript,forthcoming,not provided,Colin Jones,Queen Mary University,not provided,partly,not provided,yes,no,no,yes,yes,no,no,no,ENG,not provided,not provided,no,no,no,yes,not provided,no,no,not provided,no,no,Keyed,no,not provided,not provided,Waddesdon Manor,England,AHRC,"£204,283.00",not provided,no,no,no,not provided,21.11115/0000-000B-D08A-E,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1740,1779,Gabriel de Saint-Aubin,"Rococo Art, Caricature","A digitized sketchbook by the 18th-century artist featuring satirical and humorous caricatures, offering a rare glimpse into the irreverent side of Rococo art.",Art # Satire # Manuscript # Sociology # History,20.0,10.0
12,Antiquity,1st BC,Catullus Online,http://www.catullusonline.org/CatullusOnline/index.php,yes,yes,yes,LAT,Manuscript,2009,2013,Dániel Kiss,Ludwig-Maximilians-Universität München,Specialists; researchers; students,partly,not provided,yes,no,no,yes,yes,no,no,no,ENG,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,forthcoming,Various,Italy,Ludwig-Maximilians-Universität München,"€10,000",JavaScript; HTML; CSS,yes,no,yes,not provided,21.11115/0000-000B-D08B-D,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-100,-1,Gaius Valerius Catullus,Latin Lyric Poetry,"A critical repertory of conjectures on the text of Catullus's poems, compiling scholarly emendations and textual variants from the Renaissance to the present.",Poetry # Philology # Criticism # Manuscript # Translation,18.0,8.0
13,Middle Ages,10th-11th,Digital edition of the Old Church Slavonic Codex Suprasliensis,http://suprasliensis.obdurodon.org/,no,no,no,CHU,Manuscript,2008,present,David J. Birnbaum,University of Pittsburgh (Department of Slavic Languages and Literatures); National Library in Warsaw; National Library of Russia; National and University Library in Ljubljana,Global audience,yes,yes,yes,no,no,yes,yes,no,no,GRC,ENG,no,no,no,no,yes,yes,no,no,no,no,partly,no,Keyed,no,no,no,National Library in Warsaw; National Library of Russia; National and University Library of Slovenia,"Preslav, Bulgaria",UNESCO,not provided,obdurodon.org,yes,no,no,not provided,21.11115/0000-000B-D08C-C,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,901,1100,Not specified (Scribes),Old Church Slavonic Hagiography,"A digital reunification of the 10th-century Codex Suprasliensis, the largest surviving Old Church Slavonic manuscript, containing saints' lives and homilies.",Hagiography # Manuscript # Linguistics # Theology # Philology,6.0,20.0
14,Middle Ages,1195,Becerro Galicano of San Millán de la Cogolla,http://www.ehu.es/galicano/?l=en,yes,yes,yes,LAT,Codex; Cartulary,not provided,not provided,David Peterson,Universidad del PaÍs Vasco,not provided,partly,not provided,yes,yes,yes,yes,yes,no,no,no,ENG; SPA; BAQ,no,yes,yes,yes,yes,Open Access and Open Source (some data),no,no,no,yes,no,no,Keyed,no,no,no,Various,San Millán de la Cogolla,Fundación San Millán Cogolla,not provided,not provided,yes,http://ride.i-d-e.de/issues/issue-2/becerro-galicano/,yes,not provided,21.11115/0000-000B-D08D-B,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1195,1195,Not specified (Monks),Medieval Cartulary,"A digital edition of the cartulary from the San Millán monastery, a crucial source for medieval Spanish history, linguistics, and paleography.",Manuscript # Law # Administration # Religion # History,6.0,20.0
15,Middle Ages,9th,The Durham Liber Vitae Project,http://www.dlv.org.uk/index.html,yes,yes,yes,ANG (Northumbrian),Manuscript,2003,2007,David Rollason,King's College London (Department of Digital Humanities); University of Durham,not provided,partly,not provided,yes,no,no,no,no,no,no,no,ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,yes,not provided,Durham Cathedral Priory,"Northumbrian church, probably Lindisfarne, but possibly Monkwearmouth/Jarrow.",not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D08E-A,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,801,900,Not specified (Monks),Medieval Ecclesiastical Records,"A comprehensive edition of the ""Book of Life"" from Durham Cathedral, listing the names of thousands of benefactors and community members from the 9th to the 16th century.",Liturgy # Genealogy # Religion # Manuscript # History,30.0,20.0
16,Contemporary,1920s-1960s,Samuel Beckett Digital Manuscript Project,http://www.beckettarchive.org/login.html,yes,yes,yes,ENG,Manuscript,2007,2013,Dirk Van Hulle,University of Antwerp; University of Reading; Harry Ransom Humanities Research Center; Estate of Samuel Beckett,not provided,yes,not provided,yes,yes,no,yes,yes,not provided,not provided,not provided,ENG,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,Keyed,no,not provided,yes,Various,France,European Research Coucil,not provided,Java; XML-TEI,yes,no,yes,not provided,21.11115/0000-000B-D08F-9,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1920,1969,Samuel Beckett,Modernist/Absurdist Drama,"A genetic edition of Beckett's works, presenting digital facsimiles and transcriptions of his manuscripts to trace the evolution of his texts.",Drama # Novel # Manuscript # Criticism # Philology,45.0,62.0
17,Antiquity; Middle Ages,4th-15th,Euripides Scholia,http://euripidesscholia.org,yes,no,yes,GRC,Manuscript,2007,2010,Donald J. Mastronarde,University of California Irvine,Scholars; students,yes,partly,yes,yes,no,no,no,no,no,no,ENG,no,no,no,no,yes,yes,no,no,no,yes,yes,no,Keyed,no,no,no,Various,Various,Loeb Classical Library Foundation (in part),not provided,HTML/CSS; Alpheios,yes,no,yes,not provided,21.11115/0000-000B-D090-6,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,301,1500,Not specified (Scholars),Classical Greek Commentary,"An edition of the ancient and medieval marginal commentaries (scholia) on the plays of Euripides, providing essential context for the interpretation of Greek tragedy.",Drama # Commentary # Philology # Manuscript # Rhetoric,7.0,15.0
18,Middle Ages,1225,Heimskringla,http://omacl.org/Heimskringla/,yes,yes,no,NON,Book,1996,not provided,Douglas B. Killings,not provided,not provided,partly,no,no,no,no,no,no,no,no,no,ENG,no,no,no,no,no,Open Access and Open Source (all data),no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various; National and University Library of Iceland,Iceland,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D091-5,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1225,1225,Snorri Sturluson,Old Norse Sagas,"A collection of sagas about the Norwegian kings, written in Old Norse, blending history, genealogy, and legend.",History # Mythology # Folklore # Genealogy # Politics,6.0,15.0
19,Middle Ages,12th,Partonopeus de Blois,https://hridigital.shef.ac.uk/partonopeus/,yes,yes,yes,FRO,Manuscript,not provided,not provided,Penny Simons,University of Sheffield,Scholars of Old French texts and manuscripts,partly,not provided,yes,partly,no,no,not provided,not provided,not provided,not provided,ENG,not provided,not provided,yes,yes,no,yes,no,no,no,yes,yes,no,Keyed,no,not provided,not provided,Bibliothèque nationale de France; Bibliothèque de l'Arsenal; Bibliothèque municipale de Tours; Burgerbibliothek Bern; Biblioteca Apostolica Vaticana; Beinecke Rare Book and Manuscript Library; Parker Library Corpus Christi College Cambridge,France,AHRC,not provided,CSS; HTML; Java; MySQL; XML; XSLT,yes,no,yes,not provided,21.11115/0000-000B-D092-4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1101,1200,Not specified (Anonymous),Medieval French Romance,"An electronic edition of the 12th-century Old French romance Partonopeus de Blois, a hybrid of Arthurian legend and classical mythology.",Novel # Mythology # Manuscript # Philology # Translation,7.0,10.0
20,Middle Ages,1216-1272,Henry III Fine Rolls Project,http://www.finerollshenry3.org.uk/,yes,yes,yes,LAT,Manuscript; Roll,2005,2011,Beth Hartland; Harold Short; Arianna Ciula; David Carpenter; David Crook; Sean Cunningham; Paul Dryburgh; Louise Wilkinson,King's College London (Department of Digital Humanities); Canterbury Christ Church University,not provided,yes,no,yes,no,no,yes,yes,no,no,no,ENG,no,yes,yes,yes,no,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,not provided,yes,The National Archives,England,AHRC,not provided,xMod (KCL custom),yes,no,yes,not provided,21.11115/0000-000B-D093-3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1216,1272,Not specified (Royal Clerks),Medieval Administrative Records,"A calendar and edition of the Fine Rolls of Henry III, recording payments made to the King for concessions and offering detailed insights into 13th-century governance.",Administration # Law # Economics # History # Politics,60.0,20.0
21,Early Modern,18th,Die Briefwechsel der Mathematiker Bernoulli,http://www.ub.unibas.ch/bernoulli/index.php/Hauptseite,yes,yes,yes,LAT,Letter,1997,present,Fritz Nagel,University of Basel,"Mathematicians; physicists; historians of science or local history; partner editions (e.g. The Euler Edition, the Leibniz Edition, the Dalambert Edition); biographers",yes,not provided,yes,no,no,no,no,no,no,no,GER,yes,no,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,no,yes,Keyed,no,not provided,not provided,University of Basel,Switzerland,Schweizerischer Nationalfonds zur Förderung der wissenschaftlichen Forschung (SNF),not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D094-2,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1701,1800,Bernoulli family,Early Modern Science,"The collected correspondence of the famous Bernoulli family of mathematicians, documenting the development of calculus and physics in the 17th and 18th centuries.",Mathematics # Science # Correspondence # History # Philosophy,10.0,20.0
22,Early Modern,1749-1750,La Famiglia dell'Antiquario,http://www.intratext.com/X/ITA0763.HTM,yes,yes,no,ITA,Libretto,1996,2005,Giuseppe Bonghi,Èulogos S.p.A.,not provided,no,not provided,not provided,no,no,no,no,no,no,no,ITA,yes,no,no,no,no,Open Access and Open Source (all data),no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,Italy,not provided,not provided,HTML,yes,no,yes,not provided,21.11115/0000-000B-D095-1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1749,1750,Carlo Goldoni,18th Century Italian Comedy,"A digital text of Goldoni's comedy about an obsessive collector, highlighting the conflict between old-world obsession and practical family life.",Drama # Satire # Sociology # Art # Economics,5.0,8.0
23,Middle Ages,980-1060,Die Glossen Ekkeharts IV. im Codex Sangallensis 621,http://orosius.monumenta.ch/,yes,yes,yes,LAT,Manuscript,2005,2010,Heidi Eisenhut,University of Zürich,not provided,yes,not provided,yes,partly,no,yes,yes,yes,no,no,GER,yes,yes,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,no,yes,Keyed,yes,not provided,not provided,Stiftsbibliothek St. Gallen,Switzerland,Schweizerischer Nationalfonds zur Förderung der wissenschaftlichen Forschung (SNF); Stiftsbibliothek St. Gallen (STBSG),not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D096-0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,980,1060,Ekkehard IV of St. Gall,Medieval Scholarly Commentary,"An edition of the interlinear and marginal glosses by Ekkehard IV on the text of Orosius, serving as a key source for medieval education and Latinity.",Commentary # Philology # Grammar # Education # Manuscript,35.0,16.0
24,Antiquity,6th BC-4th AD,Inscriptions of the Northern Black Sea (IOSPE),http://iospe.kcl.ac.uk/corpus/index.html,yes,yes,yes,GRC; LAT,Tablets; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,forthcoming,not provided,Irene Polinskaya,King's College London (Department of Classics); King's College London (Department of Digital Humanities); Russian Academy of Sciences; Institute Ausonius - CNRS - University of Bordeaux 3; The State Hermitage,Researchers,partly,not provided,yes,yes,yes,yes,yes,no,no,ENG,ENG; RUS,no,yes,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,no,no,Keyed,yes,not provided,forthcoming,not provided,"Northern Black Sea, Bulgaria, Romania, Ukraine",A. G. Leventis Foundation; Loeb Library Foundation; British Academy (2008-2009); Russian Foundation for the Humanities;  Russian Foundation for Basic Research; Swiss National Science Foundation (SNSF); Ministère des Affaires étrangères et européennes (MAEE); Centre nationale de la recherche scientifique,not provided,xMod (KCL custom); EpiDoc,yes,no,yes,not provided,21.11115/0000-000B-D097-F,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-600,400,Not specified (Inscribers),Classical Epigraphy,"A corpus of ancient Greek and Latin inscriptions found on the northern coast of the Black Sea, documenting the history of the Bosporan Kingdom and Greek colonies.",Epigraphy # Archaeology # History # Politics # Genealogy,30.0,35.0
25,Early Modern,1615,La Entretenida Digital Edition,http://entretenida.outofthewings.org/index.html,yes,yes,yes,SPA,Manuscript,not provided,not provided,John O'Neill,King's College London (Department of Digital Humanities),Academics; theatre practitioners; translators,yes,not provided,yes,no,no,yes,no,no,no,ENG,ENG,no,yes,no,no,no,Open Access and Open Source (some data),no,no,no,yes,no,yes,Keyed,no,not provided,not provided,not provided,Spain,AHRC,not provided,xMod (KCL custom),yes,no,yes,not provided,21.11115/0000-000B-D098-E,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1615,1615,Miguel de Cervantes,Spanish Golden Age Theater,"A multimedia edition of Cervantes' play La Entretenida, featuring the text alongside performance materials and scholarly commentary.",Drama # Satire # Philology # Translation # Commentary,20.0,10.0
26,Early Modern,1720,A Survey of the Cities of London and Westminster by John Strype,http://www.hrionline.ac.uk/strype/,yes,yes,yes,ENG,Book,2007,present,Julia Merritt,University of Sheffield; University of Nottingham,not provided,yes,not provided,not provided,yes,no,partly,yes,no,no,not provided,ENG,yes,no,yes,no,no,Open Access and Open Source (some data),no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,British Library; MOTCO Enterprises Limited (Maps and Illustrations),England,The Leverhulme Trust; University of Sheffield,not provided,XML-TEI,no,no,yes,not provided,21.11115/0000-000B-D099-D,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1720,1720,John Strype,Early Modern Urban History,"A digital version of Strype's 1720 update to Stow's survey, providing a detailed topographical and historical description of early 18th-century London.",History # Cartography # Architecture # Sociology # Economics,10.0,65.0
27,Early Modern,1559-1588,Letters of William Herle Project,http://www.livesandletters.ac.uk/herle/index.html,yes,yes,yes,ENG,Letter,not provided,2006,Matthew Symonds,University College London,not provided,yes,not provided,yes,yes,no,no,no,no,no,no,ENG,no,no,yes,yes,no,Open Access and Open Source (some data),no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,British Library; The National Archives; Bodleian Library; Magdalene College Old Library; Longleat House; Hatfield House,England,AHRC,not provided,XHTML,yes,no,yes,not provided,21.11115/0000-000B-D09A-C,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1559,1588,William Herle,Early Modern Political Correspondence,"The correspondence of an Elizabethan intelligencer and diplomat, offering a behind-the-scenes look at 16th-century espionage and politics.",Diplomacy # Politics # Correspondence # History # War,18.0,11.0
